1  X6000
1000  X5999
500500  X5998
167167000  X5997
41917125250  X5996
8416958750200  X5995
1409840590657500  X5994
202614233456493000  X5993
25504066635961431375  X5992
2856455463116569314000  X5991
288216356203411868832600  X5990
26463501792290521615566000  X5989
2229550025299764630157785000  X5988
173561894184318111424973802000  X5987
12558442761207538032747559584000  X5986
848950729525249012421425208228400  X5985
53855311797248021447857768093170375  X5984
3218646860526604539673563744265353000  X5983
181853546885390981988597840826283677500  X5982
9743521563228102879425015517635034879000  X5981
496432419931007581592148128505977661122550  X5980
24112431586251143458226501731673651199231000  X5979
1119036015069284139218202920499032648540995500  X5978
49724121235306917293383154903443591349810937000  X5977
2119490622996232342863590984650994927737578489375  X5976
86814333623125352800322068748351817520987281725040  X5975
3422488040137311397667075499555031030254063807216000  X5974
130054540277218018187675943782818728271247322162658000  X5973
4770214510541478695089537617751697404048462007283922000  X5972
169095869834694095108189532880201455576677861038102654000  X5971
5799987921376707074298835858335851182283152833214920397000  X5970
192709259704804846076873228717767570515254467443050008546000  X5969
6208850835675361071875207478953488215078821042591221908894250  X5968
194167675837110880666514496220837004787024354432654518470152000  X5967
5899270038199285634511879763785836504818141083659704211617149000  X5966
174281263815546545986830681621143861536014460716845114186195577600  X5965
5010585396214954261824801908240110843672912341199386836390165160000  X5964
140296360784407065040881154144477481989721328537186977730077418048000  X5963
3828612895699490805526688422435999682302905473498904274899826913157000  X5962
101899975845721043275160806422374345536844558200746735315120488919144000  X5961
2646851016827249048722093166138744424884457775067403033640246368008116650  X5960
67139610907521350259353232739640810700418685528554380498996127242989826000  X5959
1664102522307259462814002347225281843907001249911612015367806384844486605000  X5958
40325442244872346735904524714714841635715823853301267778629355916211420382000  X5957
955895775715968455868102284664190301855982761455857791425047766868515477014000  X5956
22176768920428716445422959977317234299813392920367134646622748160676374534894800  X5955
503798005481341925340973010449869572125811989102199337780505331094591382357896000  X5954
11212177165466453179789082023536846403663419664529021425471792120481751708303078000  X5953
244565414801372480478868028519786970255940721963014583233036493401578086106847441875  X5952
5230700464159167600748502137496054220711461933652832370904948162925810151581826349000  X5951
109739985869618877134185567233897648569007114048236655336093385479807853135823311565820  X5950
2259350153683536554631923144787858605275575497257729668467498988585680030689545606411000  X5949
45664886957576197764088802540182728139001795502089474759300701267125490600174186419786750  X5948
906403713756505909067802625038627125585605814549687896562553042718130813700396845026587000  X5947
